ari.	claro.
atipaq.	poderoso.
atipaq.	vencedor.
atipaq.	ganador.
atipaq.	triunfador.
atipay.	poder.
atipay.	sobresalir.
ateqlla.	dato.
ateqlla.	prueba.
ateqlla.	requerimiento.
ateqlla.	citación.
atiruna.	perverso.
atiruna.	desalmado.
atisanka.	prisionero.
atisanka.	cautivo.
atisankawasi.	cárcel.
atisankawasi.	prisión.
atiysapa.	poderoso.
atiysapa.	rico.
atuqpa papan.	papa del zorro.
aswanchasqa.	extraordinario.
awakuq.	tejedor.
Awankay.	Abancay.
awa.	tela.
awa.	tejido.
away.	tejer.
awana.	telar.
awaq.	tejedor.
awaq.	tejedora.
awicha.	anciana.
awichu.	abuelo.
awki.	príncipe.
awllay.	aullar.
awkilla.	bisabuela.
awkillu.	bisabuelo.
awkillu.	abuelo.
awkillu.	anciano.
awqa.	enemigo.
awqa.	rebelde.
awqa.	salvaje.
awqa.	bárbaro.
awqa.	adversario.
awqa.	rival.
awqa.	contrario.
awqana.	guerra.
awqana.	beligerancia.
awqanakoq.	guerrero.
awqanakoq.	beligerante.
awqanakuy.	pelear.
awqanakuy.	enfrentarse.
awqanakuy.	batallar.
awqanakuy.	combatir.
awqay.	luchar.
awqay.	combatir.
awqay.	pelear.
awriki.	por supuesto.
aya.	alma.
aya.	cadáver.
aya.	muerto.
aya.	difunto.
aya.	espíritu.
ayachukuchiy.	embalsamar.
Ayakuchu.	Ayacucho.
aya uma.	calavera.
aycha.	carne.
aycha.	musculo.
aycha.	cuerpo.
ayapaka.	sepulturero.
aychamikuq.	carnívoro.
aycha rantikuq.	carnicero.
aychawasi.	carnicería.
aychasapa.	carnoso.
aychasapa.	musculoso.
ayllu.	familia.
ayllu.	parientes.
ayllu.	comunidad.
ayllu.	tribu.
aylluchay.	emparentar.
ayma.	procesión.
aymura.	cosecha.
aymuray.	cosechar.
aynikuy.	ayudarse.
aynikuy.	colaborar.
ayniy.	ayudar.
ayniy.	prestar.
ayniy.	convivir.
ayniy.	corresponder.
ayñiy.	oponerse.
ayñiy.	contradecir.
ayñiy.	rezongar.
ayunay.	ayunar.
ayaqra.	cadavérico.
ayawaka.	sepulcro.
ayawantu.	avispa.
ayawasi.	tumba.
ayawasi.	cementerio.
ayawasi.	panteón.
aywiy.	lavar.
aywiy.	enjuagar.
aywiy.	batir.
aywiy.	agitar.
aya watu.	ataud.
aya watu.	feretro.
aypay.	alcanzar.
aypay.	abastecer.
aypuy.	distribuir.
aypuy.	repartir.
aypuy.	convidar.
aypuy.	agasajar.
ayqe.	evasión.
ayqe.	huída.
ayqep.	fugitivo.
ayqey.	huir.
ayqey.	escapar.
ayqey.	fugar.
ayqey.	evadir.
ayqey.	fugarse.
ayqey.	escaparse.
aysana.	canasta.
aysana.	cesta.
aysana.	caja.
aysana.	recipiente.
aysana.	asa.
aysay.	estirar.
Ayiyanchu.	Hola.
bandira.	bandera.
baratu.	barato.
basyu.	vacío.
biriti.	gorra.
brinkay.	saltar.
brinkay.	brincar.
chaka.	puente.
chakatasqa.	crucificado.
chakatay.	crucificar.
chachi.	rigor.
chachi.	severidad.
chaki.	pie.
chakikuy.	secarse.
chakisapa.	patón.
chakra.	campo.
chakra.	terreno.
chakra.	maizal.
chakra.	chacra.
chakrayuq.	hacendado.
chakrayuq.	terrateniente.
chakra runa.	campesino.
chakra warmi.	campesina.
chakata.	cruz.
chakatay.	crucificar.
chakay.	cruzar.
chaku.	rodeo.
chaku.	cacería.
chakichina.	secador.
chakichina.	servilleta.
chakchay.	masticar.
challwakuy.	pescar.
chala.	intercambio.
chala suyu.	costa.
challwa.	pescado.
chamkay.	tocar.
chamqay.	echar.
chamqay.	arrojar.
chamqay.	tirar.
chamqay.	lanzar.
chamqay.	apedrear.
chamqay.	chancar.
chamchay.	despedazar.
chamisu.	retama.
chana.	menor.
chani.	precio.
chani.	valor.
chani.	costo.
chanin.	bastante.
chaninchay.	reconocer.
chaninchay.	respetar.
chaninchay.	valorar.
chaninchay.	premiar.
chaninchay.	renumerar.
chaninchay.	apreciar.
chaninchay.	reconocer.
chankaka.	melaza.
chanka moqo.	rodilla.
chapchay.	palpar.
chapra.	rama.
chapra.	ramo.
chaqchuy.	regar.
chaqchuy.	rociar.
chaqchuy.	esparcir.
chapiy.	soldar.
chapla.	aplastado.
chapoqeyoq.	lunático.
chapoqeyoq.	maniático.
chapuy.	mojar.
chapuy.	sumergir.
chaqlla.	estera.
chaqa.	pues.
chaqna.	cuerda.
chaqna.	lazo.
chaqnay.	atar.
chaqchay.	mascar.
chaqu.	parcela.
chaquy.	talar.
charanku.	charango.
chaqruy.	mezclar.
chaqruy.	entreverar.
chakitaklla.	azada.
chakitaklla.	tirapié.
charapa.	tortuga.
chaskikuy.	merecer.
chaski wasi.	correo.
chaski.	mensajero.
chaskina.	aceptable.
chaskina.	admisible.
chakmay.	arar.
chaskiq.	digno.
chaski qillqa.	carta.
chaskiy.	recibir.
chaskiy.	aceptar.
chaskiy.	admitir.
chaskiy.	reconocer.
chaska.	estrella.
chaska.	astro.
chaspay.	raptar.
chaspay.	rapiñar.
chawa.	crudo.
chakra.	campo.
chaway.	ordeñar.
chaway.	exprimir.
chaway.	escurrir.
chaway.	estrujar.
chawpi.	central.
chilliku.	grillo.
chilliku.	saltamontes.
chillpi.	fragmento.
chillpi.	minima parte.
chipana.	brazalete.
chipana.	manilla.
chipana.	anillo.
chipu.	tacaño.
chipu.	ajustado.
cheqta.	hedija.
cheqta.	hendidura.
cheqta.	abertura.
cheqta.	grieta.
cheqtay.	rajar.
cheqtay.	dividir.
cheqtay.	partir.
cheqtay.	hendar.
chawpichay.	centrar.
chawpinasqa.	mediante.
chawpi punchaw.	mediodia.
chawpi tuta.	medianoche.
chawpi wata.	medio año.
chay.	ese.
chayana.	meta.
chayamuy.	llegar.
chayamuy.	venir.
chayapu.	crónico.
chayasqa.	cocido.
chayasqa.	cocinado.
chay hina.	asi.
chay huk.	otro.
chayay.	llegar.
chayay.	arribar.
chaykuna.	esos.
chaymantaqa.	despues.
chayraq runa.	forastero.
chaysi.	entonces.
chaychá.	acaso.
chaychá.	quizá.
chay-chayta	aproximadamente.
chayna.	así.
chaylla.	breve.
chaylla.	único.
chaylla.	inmediatamente.
challay.	salpicar.
challay.	rociar.
challay.	brindar.
challay.	asperjar.
chaymanta.	luego.
chaymanta.	después.
chaymanta.	entonces.
chaypi.	ahí.
chaypi.	allí.
chaypi.	allá.
chayqa.	ese.
chayqa.	esa.
chayqa.	eso.
chayqa.	ello.
chayqa.	ése.
chaysi.	entonces.
chayoq.	pozo.
cheqniy.	odiar.
cheqniy.	aborrecer.
cheqniy.	despreciar.
chichupacha.	gestación.
china kuchi.	cerda.
china kuchi.	puerca.
Chiklayu.	Chiclayo.
wichiy.	caer.
chiqullu.	ruiseñor.
chiraw.	verano.
chicha.	chicha.
chichu.	embarazada.
chichu.	preñada.
chichu.	encinta.
chikankaray.	gigantesco.
chikchi.	granizo.
chikchi.	granizada.
chikchiy.	granizar.
chikchiy.	granisar.
chiki.	desgracia.
chiki.	mal agüero.
chiki.	adversidad.
chiki.	riesgo.
chiki.	desventura.
chikuchay.	cosquillear.
chikikoq.	envidioso.
chinkachiy.	perder.
chinkachiy.	extraviar.
chinkachiy.	desorientar.
chinkakuy.	desaparecer.
chinkakuy.	evadirse.
chinkakuy.	fugarse.
chinkakuy.	perderse.
chinkasqa.	perdido.
chinkasqa.	extraviado.
chinkasqa.	desorientado.
chinkana.	caverna.
chinkasqa.	perdido.
chinkasqa.	extraviado.
chinkasqa.	desorientado.
chiqnisqa.	odiado.
chiqnisqa.	aborrecido.
chinwa.	ortiga.
chipi.	mono.
chiptiy.	pellizcar.
chiputi.	ano.
chipipipiy.	brillar.
chipipipiy.	reverberar.
chintiy.	encogerse.
chinkay.	perderse.
chinkay.	desaparecer.
chinkay.	extraviarse.
chinkay.	evadir.
chiqniy.	odiar.
chiqniy.	despreciar.
chimpa.	al frente.
chimpa.	enfrente.
chimpa.	opuesto.
chimpa.	costa.
chimpa.	orilla.
chimpa.	opuesta.
chimpay.	atravesar.
chimpay.	cruzar.
chimpay.	vadear.
chimpay.	pasar.
chimsu.	achinado.
china.	hembra.
chiraw.	primavera.
chiri.	frio.
chiri.	helado.
chiri.	frigido.
chirichay.	enfriar.
chiri humpi.	escalofrío.
chita.	oveja.
chita.	cordero.
chitakamaq.	pastor.
chiwaku.	zorzal.
chiwchi.	polluelo.
chiwchi.	pollito.
chichi.	seno.
chichi.	pezón.
chichi.	teta.
chichi.	mama.
chichiy.	mamar.
chichiy.	lactar.
chufir.	chofer.
chiwi.	piña.
cheqa.	verdadero.
cheqa.	cierto.
cheqa.	evidente.
cheqa.	veraz.
cheqa.	positivo.
cheqachakuy.	justificarse.
cheqachay.	enderezar.
cheqachay.	ordenar.
cheqachay.	aclarar.
cheqachay.	rectificar.
cheqachay.	justificar.
cheqan.	segmento.
cheqap.	verdadero.
cheqap.	positivo.
cheqap.	cierto.
cheqap.	efectivo.
cheqap.	verdad.
cheqap.	evidencia.
cheqap.	cierto.
cheqapchaq.	justificador.
cheqay.	verdadero.
cheqchay.	gastar.
cheqchikachay.	coquetería.
cheqchiku.	coqueta.
cheqmisqa.	turbado.
cheqnikuq.	xenófobo.
cheqnikuq.	rencoroso.
chiqnisqa.	odiado.
chiqnisqa.	aborrecido.
chiqnisqa.	malquerido.
cheqniy.	encono.
cheqniy.	aborrecido.
cheqniy.	malquerido.
cheqniy.	odiar.
cheqniy.	despreciar.
cheqniy.	detestar.
cheqo.	cincel
chullu.	hielo.
chulluchiy.	disolver.
chirakruyuyu.	llantén.
chiran.	invierno.
chirapa.	llovizna.
chirapa.	arco iris.
chiri.	frío.
chiri.	helado.
chiri.	frigido.
chiri.	frígido.
chiri.	helada.
chiri miski.	helado.
chiri miski.	chupete.
chirimuyu.	chirimoyo.
chirimuyu.	chirimoya.
chiririnka.	moscardón.
chiririnka.	moscón.
chiriy.	helar.
chirmay.	dañar.
chirmay.	perjudicar.
chiru.	lado.
chiru.	lateral.
chiru.	costado.
chisinku.	madrugada.
chisi.	anoche.
chisi.	ayer en la noche.
chita.	oveja.
chita.	cordero.
chiwaku.	tordo.
chiwaku.	zorzal.
chiwanway.	rojo intenso.
chumiy.	aplastar.
chunka.	diez.
chukcha.	cabello.
chukcha.	cabellos.
chukcha.	pelo.
chukchu.	paludismo.
chukchu.	malaria.
chukchu.	escalofríos.
chukchu.	terciana.
chukchu.	convulsión.
chukchuy.	estremecerse.
chukchuy.	temblar.
chukchuy.	tiritar.
chukchuykuy.	arrodillarse.
chukru.	duro.
chuku.	casco.
chuku.	sombrero.
chuku.	capa.
chukullu.	gorro.
chukullu.	solideo.
chukupi.	maní.
chullqe.	olluco.
chulluy.	licuarse.
chulluy.	disolver.
chulluy.	remojar.
chulluy.	derretirse.
chulluy.	derretir.
chulla.	impar.
chulla.	único.
chulla.	disímil.
chullu.	gorra.
chullu.	gorro.
chunchu.	salvaje.
chunchu.	inculto.
chunchu.	salvajes.
chunchuli.	intestinos.
chunchuli.	intestino.
chunchuli.	tripa.
chuñu.	chuño.
chiriy.	hacer frío.
chiriy.	estar frío.
chulla.	uno solo.
chuñu.	papas secas.
chuñu.	papas deshidratadas.
churu.	caracol.
chusu.	cero.
chusu.	nada.
chusu.	que no existe.
chusiq.	lechuza.
chusiq.	buho.
chuspi.	mosca.
chuspi.	mosco.
chuspi.	mosquito.
chuspi.	insecto.
chutu.	indígena.
chutu.	indio.
chutu.	malatrasa.
chuya.	claro.
chuya.	transparente.
chuya.	limpio.
chuya.	inmaculado,
chuya.	puro.
chuya.	santo.
chumpi.	castaño.
chumay.	desaguar.
chumay.	drenar.
chumay.	filtrar.
chumay.	escurrir.
chumchiy.	enjuagarse la boca.
chompa.	chompa.
chumpi.	faja.
chumpi.	cinturón.
chumpi.	correa.
chumpi.	cinto.
chumpiy.	fajar.
chunka.	diez.
chunkachasqa.	decimal.
chunkacha tatki.	decímetro.
chunka kaq.	décimo.
chunkakuna.	decenas.
chunka hukniyuq.	once.
chunka iskayniyuq.	doce.
chunka iskayniyuq ura.	las doce.
chunka isqunniyuq.	diecinueve.
chunka kimsayuq.	trece.
chunka tawayoq.	catorce.
chunka pichqayuq.	quince.
chunka pusaqniyuq.	dieciocho.
chunka qanchisniyoq.	diecisiete.
chunka soqtayoq.	dieciséis.
chunka soqtayoq.	dieciseis.
chunka tatki.	decámetro.
chunka tawayuq.	catorce.
chunka waranqa.	diez mil.
chunkachiru.	decágono.
chunni.	solitario.
chunni.	desierto.
chupa.	cola.
chupa.	rabo.
chupa.	coxis.
chupa.	mango.
chupi.	vagina.
chupqachay.	disponer.
chuqay.	tirar.
chuqay.	arrojar.
chuqay.	lanzar.
chuqay.	botar.
choqchi.	flacucho.
choqchi.	esquelético.
choqchi.	escuálido.
choqchi.	flaco.
choqchi.	raquítico.
choqepillu.	llama guía.
chuqllu.	choclo.
chuqllu.	maíz.
churachiy.	vestir.
churakuy	ponerse.
churakuna.	armario.
churakuna.	estante.
churakuna.	recipiente.
churakuy.	guardar.
churana.	ropa.
churaq.	ponedora.
churay.	poner.
churay.	colocar.
churay.	depositar.
churay.	guardar.
churi.	hijo.
churi.	hija.
churichaq.	prohijador.
churkuy.	elevar.
churkuy.	levantar.
churkuy.	cargar.
churanakunata siraq.	sastre.
churana wasi.	despensa.
churapuy.	devolver.
churasqa.	puesto.
churasqa.	colocado.
churi.	hijo.
churi.	hija.
churkuy.	elevar.
chusku.	mestizo.
chusku pachak.	cuatrocientos.
chutamuy.	jala.
chutariqlla.	elástico.
chutasqa.	eliminado.
chutasqa.	despedido.
chuyaq yaku.	agua clara.
chuya sunqu kay.	se inocente.
chaki.	seco.
chaki.	seca.
chutuy.	quitarse.
chakichiy.	desecar.
chakichiy.	deshidratar.
chakichiy.	secar.
chakichiy.	desaguar.
challay.	salpicar
chisikama.	hasta el atardecer.
dansaq.	bailarín.
dansay.	bailar.
dañuq.	brujo.
dañuq.	hechicero.
dilikaw.	delicado.
duktur.	doctor.
Dyus.	dios.
Dyusninchik.	nuestro Dios.
Dyusmanta mañakuy.	rezar.
Dyusmanta mañakuy.	orar.
Dyuspa akllankuna.	monjas.
Dyuspa Simin Qillqa.	Biblia.
eqo.	antepasado.
erqe.	débil.
erqe.	enfermizo.
erqe.	raquítico.
erqe.	flaco.
erqe.	engreído.
erqe.	párvulo.
gringu simi.	inglés.
hachiy.	estornudar.
¡Haku!.	¡Vamos!.
¡Haku!.	¡Vámonos!.
¡Haku!.	¡Marchemos!.
hamka.	maíz tostado.
hamkasqa.	tostado.
hampi.	remedio.
hampi.	medicina.
hampi.	medicamento.
hampi.	insecticida.
hampiy.	curar.
hampiy.	tratar.
hampiy.	fertilizar.
hampiy.	dar remedio.
hampi kamayuq.	curandero.
hampi kamayuq.	farmacéutico.
hampi kamayuq.	boticario.
hampi kamayuq.	médico.
hampichiy.	hacer curar.
hampikuq.	curador.
hampikuq.	curandero.
hampiq wasi.	hospital.
hampi qhatuq wasi.	farmacia.
hampis.	menstruación.
hampiway.	cúrame.
hampatu.	sapo.
hampatu.	batracio.
hampatu.	ambato.
hampatu.	rana.
Hamupay!	¡Bienvenido!
hamuq killa.	próximo mes.
hamuq pacha.	futuro.
hamuq pacha.	porvenir.
hamuq wata.	próximo año.
hamuypallay.	deducir.
hanan.	elevado.
hanan.	alto.
hanan.	superior.
hanan.	arriba.
hanan pacha.	cielo.
hanan suyu.	parte alta.
hapiy.	agarrar.
hapiy.	capturar.
hapiy.	tomar.
hapiy.	sostener.
hapiy.	chapar.
hapiy.	empuñar.
hapikuy.	agarrate.
hapinakuy.	rivalidad.
hapipakuy.	adueñarse.
hapipakuy.	apoderarse.
hapipakuy.	apropiarse.
harawi.	poesía.
harawi.	poema.
harawiq.	poeta.
harawiy.	poema.
harkapay.	atajar.
harkay.	atajar.
harkay.	retener.
harkay.	impedir.
harkay.	atajar.
harkay.	obstaculizar.
harkay.	cercar.
harkay.	obstruir.
hatariy.	levantarse.
hatariy.	erguirse.
hatariy.	alzarse.
hatariy.	progresar.
hataripakuq.	guerrillero.
hatun.	grande.
hatun.	vasto.
hatun.	amplio.
hatun.	alto.
hatun.	corpulento.
hatun.	enorme.
hatun.	inmenso.
hatunchay.	aumentar.
hatunchay.	engrandecer.
hatun kamachi.	constitución.
hatun kamachiq.	presidente.
hatun kamachiq.	jefe.
hatun kana.	magnitud.
hatun llaqta.	ciudad.
hatun llulla.	embustero.
hatun mama.	abuela.
hatun ñan.	calle.
hatun ukucha.	rata.
hatun unquy.	epidemia.
hatun wayra.	huracán.
hatun yachay wasi.	universidad.
hatun yaku.	río.
hawanta.	sobre.
hawa.	fuera.
hawa.	afuera.
hawa.	fuera de.
hawapi.	exterior.
hawapi.	encima.
hawapi.	afuera.
¿hayka?	¿cuántos?
¿hayka?	¿cuánto?
¿hayka?	¿cuánto?
haykapi?	¿cuándo?
haykapitaq?	¿cuándo?
haypay.	alcanzar.
haypuy.	distribuir.
hayta.	puntapié.
hayta.	patada.
haytay.	patear.
hayway.	alcanzar.
hayway.	entregar.
hayway.	ofrecer.
hina.	así.
hina.	de esa manera.
hina.	de este modo.
hina.	de esta manera.
hinaptin.	entonces.
hinata.	aunque.
hita.	labios.
hita.	labio.
huk.	una.
huk.	uno.
huk.	1.
huk.	un.
huk.	a.
huklla.	solo.
huklla.	desamparado.
huklla.	huérfano.
huklla.	viudo.
huklla.	soltero.
huklla.	único.
huklla.	singular.
huklla.	uno solo.
huklla.	uno sóla.
huklla.	único.
huklla.	uno nomas.
hukllaway.	juntar.
hukllaway.	unir.
hukllaway.	reunir.
hukllaway.	unificar.
hukllaway.	congregar.
hulyu.	julio.
hunta.	lleno.
hunta.	pleno.
hunta.	repleto.
hunta.	colmado.
hunta.	cabal.
hunta.	completo.
hunta.	lleno de.
huntay.	llenarse.
huntay.	colmarse.
hunyu.	junio.
huñunakuy.	asociación.
huñunakuy.	organización.
huñuy.	juntarse.
huñuy.	reunir.
huñuy.	juntar.
huñuy.	congregar.
huñuy.	sumar.
huñuy.	aunar.
huybis.	jueves.
inti.	sol.
intichay.	este.
inti chinkay.	eclipse.
inti chinkay.	oeste.
inti palpuy.	crepúsculo.
inti raymi killa.	junio.
inti lloqsiy.	oriente.
intipa chinkanan.	occidente.
intipa chinkanan.	poniente.
intipa chinkanan.	oeste.
intipa lloqsinan.	oriente.
intipa lloqsinan.	este.
irqinchu.	llorón.
iruy.	girar.
iskay.	dos.
iskay.	par.
iskay.	2.
iskayasqa.	duplicado.
iskay kaq.	segundo.
ispay puru.	vejiga.
iskay chunka.	veinte.
iskay chunka hukniyuq.	veintiuno.
iskay chunka iskayniyuq.	veintidós.
iskay chunka isqunniyuq.	veintinueve.
iskay chunka kimsayuq.	veintitres.
iskay chunka pichqayuq.	veinticinco.
iskay chunka pusaqniyuq.	veintiocho.
iskay chunka qanchisniyuq.	veintisiete.
iskay chunka suqtayuq.	veintiseis.
iskay chunka tawayuq.	vienticuatro.
iskay chunka waranqa.	veinte mil.
iskay pachak.	doscientos.
iskay pachak waranqa.	doscientos mil.
iskay sunqu.	vacilante.
iskay sunqu.	indeciso.
iskay waranqa.	dos mil.
isku.	cal.
isku.	yeso.
isku.	tiza.
isku.	caliza.
ismuy.	corrupción.
ispay.	orina.
ispay.	mear.
ispay.	defecar.
ispay.	miccionar.
ispay.	expeler.
Ispaña.	España.
isqun.	nueve.
isqun.	número nueve.
isqun.	9.
isqun.	el número 9.
isqun chunka hukniyuq.	noventa y uno.
isqun chunka iskayniyuq.	noventa y dos
isqun chunka waranqa.	noventa mil.
isqun ñiqin.	noveno.
isqun pachak.	novecientos.
isqun pachak waranqa.	novecientos mil.
istudyay.	estudiar.
Iwrupa.	Europa.
icha.	pero.
icha.	o.
ichaya.	quizás.
ichaya.	quizá.
ichaya.	talvez.
ichoq.	izquierda.
ichoq.	izquierdo.
ichu.	paja.
ichu.	heno.
ichu.	icho.
idukasyun.	educación.
illapu.	relámpago.
illapu.	rayo.
illapu.	trueno.
illaq.	viajante.
illaq.	caminante.
illay.	viajar.
illay.	caminar.
ima?	¿qué?
ima?	¿qué cosa?
ima?	¿cuál?
imayna?	¿cómo?
imaynanpi?	¿porqué?
imapas.	algo.
imata?	¿qué?
imata?	¿qué cosa?
imata?	¿a qué?
imatapas.	algo.
imataq?	¿qué?
imatataq?	¿qué?
imay?	¿cuándo?
Imay sonqo!	¡Pobrecito!
Imay sonqo!	¡Pobrecita!
iniru.	enero.
Inka.	inca.
irriru.	herrero.
Isisis!	¡Qué enorme!
Isisis!	¡Qué grande!
Isisis!	¡Qué inmenso!
kachaq.	emisor.
kacharikuy.	soltarse.
kacharkachiy.	libertar.
kacharpaya.	despedida.
kachkani.	estoy.
kaypi kachkani.	aqui estoy.
kachu.	cuerno.
kachaku.	guardia.
kachaku.	policía.
kachapu.	obsequio.
kacharikuy.	soltar.
kacharikuy.	aflojar.
kachariy.	soltar.
kachariy.	permitir.
kachariy.	soltarse.
kacharpariy.	despedida.
kachi.	sal.
kachimanta.	de sal.
kachiy.	salar.
kachiy.	poner sal.
kachiyuq.	salado.
kachisapa.	salado.
kachkan.	está.
kachkay.	estar.
kachkay.	existir.
kallpa.	fuerte.
kallpachay.	alentar.
kallpachay.	fortalecer.
kallpachay.	vigorizar.
kallpachay.	inspirar.
kallpamanay.	desaliento.
kallpamanay.	adinamia.
kallpayllaña.	muy de prisa.
kamachikusqa simi.	mandamiento.
kamachikusqa simi.	ley.
kamachikuykuna.	leyes.
kamachikuykuna.	normas legales.
kamachiq.	autoridad.
kamachiq.	gobernador.
kamachiqkuna.	autoridades.
kamachisqa.	mandamiento.
kamachiy.	ordenanza.
kamachiy.	ley.
kamaq.	administrador.
kamaq.	dios.
kamaq.	dios.
kamari.	organización.
kan.	es.
kan.	está.
kan.	hay.
kanan.	en seguida.
kanan.	luego.
kanan.	ahora.
kanan.	hoy.
