abaspa tuktun.	flor de haba.
Imataq sutiyki?	¿Cómo te llamas?
imay ura?	¿a qué hora?
imay ura?	¿qué hora?
imay ura?	¿qué tiempo?
imay urataq?	¿a qué hora?
imay urataq?	¿qué hora?
imay urataq?	¿qué tiempo?
inka wasi.	casa del inka.
Inglesta rimankichu?	¿Hablas inglés?
Inglesta rimankichu?	¿Hablas inglés?
kawsaypa maman.	madre del cultivo.
kay hina.	como esto.
kay hina.	de este modo.
kay hina.	de esta manera.
kay hina p'unchawkama.	hasta otro día.
kay hina p'unchawkama.	hasta el proximo día.
kay hina watakama.	hasta el otro año.
kay hina watakama.	hasta el proximo año.
kimsa chunka hukniyuq.	treinta y uno.
kimsa chunka iskayniyuq.	treinta y dos.
kimsa chunka kimsayuq.	treinta y tres.
kimsa chunka tawayuq.	treinta y cuatro.
kimsa chunka pichqayuq.	treinta y cinco.
kimsa chunka suqtayuq.	treinta y seis.
kimsa chunka qanchisniyuq.	treinta y siete.
kimsa chunka pusaqniyuq.	treinta y ocho.
kimsa chunka isqunniyuq.	treinta y nueve.
kimsa chunka ñiqin yachakuna.	Lección Treinta.
kimsa pachak waranqa.	trescientos mil.
kiru nanay.	dolor de dientes.
kirunkunata pichay.	cepillar los dientes.
orqo suyu.	región montañosa.
orqota qaway.	mira la colina.
orqo-orqo.	de cerro a cerro.
wakachakunapura.	entre las vaquitas.
wakachayoq.	el que tiene vaquita.
wakapa qallun.	llantén macho.
wasa orqon.	columna vertebral.
wasicha.	pequeña casa.
wasichakuy.	construirse casa propia.
wasichakuy.	construir su casa.
wasichay.	edificar.
wasichay.	construir.
wasita pichay.	barrer la casa.
wasi uywa.	animal doméstico.
wasiy.	mi casa.
wasiyki.	tú casa.
wasiyoq.	el dueño de la casa.
wasiyoq.	dueño de casa.
watan watan.	todos los años.
watukuy.	sentir nostalgia.
watukuy.	echar de menos.
watukuy.	echarse de menos.
willay kamayuq.	periodista.
willay riqsichiy.	medios de comunicación.
willay riqsichiypi llamkaqkuna.	trabajadores de la prensa.
willkapaq.	para el nieto.
wisllanchik.	nuestro cucharón.
wintiy.	saltar alrededor.
wiña-wiñaymanta.	desde la eternidad.
wiña-wiñaypaq.	para siempre.
wiñaypaq.	por siempre.
yachana wasi.	centro educativo.
yachan.	él sabe.
yachan.	ella sabe.
yachanchik.	nosotros sabemos.
yachaniku.	nosotros sabemos.
yachankichik.	ustedes saben.
yachanku.	ellos saben.
yachay wasi.	casa del saber.
yachay wasi.	templo del saber.
yakunayawachkanmi.	tengo sed.
yana ñawi.	ojos negros.
yanapanakuy.	ayudarse mutuamente.
yanapanakuy.	ayudar uno a otro.
yapa-yapa.	con frecuencia.
yaqa.	por poco no.
yaqa.	cerca de.
yakulla.	manta ceremonial.
yarqanayawachkanmi.	tengo hambre.
yarqawanmi.	tengo hambre.
yarqay.	tener hambre.
Yaw!	oye tú!
yunka suyu.	región yunga.
yunka wasi.	casa en la selva.
yuraq riti.	nieve blanca.
yuraq wasi.	casa blanca.
yutupa papan.	papa de perdiz.
yutupa saran.	maíz de perdiz.
Yuyay allinta!	¡Acuérdate bien!
yuyay chinkay unquykuna.	enfermedades mentales.
Imakuna pasakusqanmanta.	Observando el mundo.
Familiapaq yanapakuykuna.	Ayuda para las familias.
Mozo-sipasyaq kaqkunawan imayna parlaymanta.	Cómo comunicarse con su hijo adolescente.
Tapusqankumanta.	Entrevista.
Yachaysapa warmim iñiyninmanta willakun.	Una bioquímica explica por qué tiene fe.
Llaqtakunamantawan runankunamanta.	Tierras y gentes.
Camerún nacionta watukuspa.	Una visita a Camerún.
Paraisomanta.	El Paraíso.
Papa tarpuy.	Cultivo de papa.
Ñawpaqta yapunchik chakrata buwiswan, chakitakllawan.	Primeramente aramos la chacra con buey y tirapiés.
Chaymanta pampata uchkunchik papata tarpunapaq.	Luego escarbamos el suelo para sembrar la papa.
Chaymanta pakanchik allpawan.	Después la ocultamos con tierra.
Siqariptinqa qarpanchik rarqha yakuwan.	Cuando nace, se riega con agua de acequia.
Parwariptinqa hallmanchik.	Cuando está en flor le amontonamos tierra.
Nubimbri, marsu killakunapi yapunchik.	Aramos en los meses de noviembre y marzo.
Disimbri killapi tarpunchik.	Sembramos en el mes de diciembre.
Runawan, warmiwan llamkanchik.	Trabajamos con hombres y mujeres.
Tarpunchik matukana papata, qillu papata, wanka papata, tabardillu papata, yuraq papata, mallqu papata.	 Sembramos papa de Matucana, papa amarilla, papa larga, papa tabardillo, papa blanca, papa de moraya.
Suqta killamanta allanchik papata huniyu killapi, sitimbri killapi.	Seis meses después escarbamos la papa en los meses de junio y setiembre.
Murayata ruranapaq ñawpaqta qasaq pachaman mast'arinchik.	Para hacer la moraya extendemos en la helada.
Chaymanta pacha laqhayaptin sarurinchik iskay, kimsa tutata.	Luego cuando se oscurece, la pisamos dos, tres noches.
Papap qaran lluqsinanpaq sarurinchik.	Pisamos para que salga la piel de la papa.
Chaymanta saqirinchik chakinanpaq.	Luego la dejamos para que se seque.
Chuñuta rurananchikpaq qasarichinchik huk tutata sumaq qasasqankama.	Para hacer el chuño lo hacemos helar una noche hasta que se hiele bien.
Chaymanta pukyu yakuman chamqanchik.	Después lo botamos en un pozo de agua.
Chaymanta pakanchik sachawan, panqawan.	Luego lo cubrimos con plantas y hojas de papa.
Chaymanta chunka pichqayuq punchawmanta hurqurinchik.	De allí quince días después lo sacamos.
Chaymanta inti ruphayman mastarinchik chakinanpaq.	Después lo extendemos al calor del sol para que se seque.
Chaymanta lluchunchik qaranta makinchikwan chuñu kananpaq.	Luego pelamos su cáscara con la mano paara que sea blando.
Chaymanta sumaq yuraq chuñu lluqsirin.	 Así sale un chuño hermoso y blanco.
Sara tarpuy.	Sembrío de maíz.
Ñawpaqta sara chakrapi uwihata puñuchinchik pusaq, chunka tutata wanu rikurinanpaq.	Primeramente hacemos dormir ovejas en la chacra de maíz ocho, diez noches para que tenga guano.
Pacha paraywan kikillan parqukun.	Se riega por sí misma en el tiempo de lluvia.
Fibriru killata tarpukunchik saranchikta.	Sembramos nuestro maíz en el mes de febrero.
Aspinawan uchkuspa muhuta pakanchik.	Haciendo huecos con la escarbadora ocultamos la semilla.
Yuraq sarata, muru sarata, qillu sarata, yana sarata tarpunchik.	Sembramos maíz blanco, multicolor, amarillo y negro.
Mutita ruranchik llapan sarata.	Preparamos el mote de todos los maíces.
Utu saramanta aqhanchikta ruranchik.	De los troncos del maíz hacemos nuestra chicha.
Chaymanta sara tarpukuspa siqarin; qarpanchik rarqha yakuwan.	El maíz nace después de que se ha sembrado; se riega con el agua de la acequia.
Chaymanta hallmanchik, sarap chakinman allpata aspinawan qutunchik, muhun lluqsiptin.	Luego amontonamos tierra al pie del maíz cuando sale su semilla.
Sitimbri killapi sarata hurqunchik chakinanpaq.	En el mes de setiembre cortamos el maíz para que seque.
Saranchikpa wirunqa miskinmi.	La caña de nuestro maíz es dulce.
Chaymanta ch'akinanpaq ayllunchik qutuman.	 Después lo recogemos en un montón para que se seque.
Chakiriptin, tipinawan tipinchik.	Cuando se seca, lo deshojamos con el deshojador.
Sara tipipi takinchik kay hina.	En el deshoje de maíz cantamos así.
Hakuy naranhita.	Vamos naranjita.
Ñuqa pusasqayki.	Yo te voy a llevar.
Chaypich, warma.	Después quizás, muchacho.
Sapatiru kayta, waywas.	A ser zapatero, waywash.
Ukuchata muyupayay, waywas.	Ronda al ratón, waywash.
Saqiriy wayllu, waywas.	Déjalo wayllu, waywash.
Ukuchata hapiway, waywas.	Agárrame al ratón, waywash.
Chaymanta maman kaq wawanta hapikun taki pachapi.	Luego la que es la madre agarra a su hijo al tiempo de cantar.
Chaymanta tipita tukuspa, saranchikta muchhanchik, pirwanchikman apanchik.	Después de terminar el deshoje, desgranamos nuestro maíz y lo llevamos a nuestro granero.
Huk kutis huk sisicha hatun mayuta chinpayta munasqa.	Dice habia una vez, una hormiguita que quería cruzar un gran rio.
Chaysi chakata mana tariyta atispa huk sacha rapipi chinpayta qallarisqa.	Pero al no encontrar un puente empezó a cruzar en la hoja de un arbol.
Ña rapi puririchkaptinsi, huk kurucha rikurquspa nisqa.	Después de empezar a cruzar, la vio un gusanito y le dijo.
Manam sacha rapillapiqa kay hatun mayu chinpaytaqa atiwaqchu.	No podrás cruzar el rio solo en una hoja.
Aswanqa haku kusi kusichapa wasinta.	Más bien vamos a la casa de la arañita.
paymi yanapawasunchik, nispa.	ella podrá ayudarnos, le dijo.
Chaysi, kimsantinkumanta, mayu patapi qurakunata arwispa, kusi kusipa llikanmanta chaka rurayta qallarisqaku.	Entonces entre los tres empezaron a unir arbustos con la telaraña para hacer un puente.
Chay chakata tukurquspataqsi, sisichaqa hatun mayuta chinpasqa.	Luego de terminar de construir el puente la hormiguita pudo cruzar el puente.
Maypiraq kuyakusqay urpicha tarikunki.	Dónde te encontrarás mi querida palomita.
Kay sumaq llaqtapiqa yantawanraqmi yanukuniku.	En este pueblo hermoso aún cocinamos con leña.
Allin punchaw llapallanchikpaq.	Buen día para todos.
Imatataq niykuywaqchik Perú suyu umalliqninchikta?	¿Qué le dirían a nuestro presidente del Perú?
Wak sumaq warmi sunquyta suwaruwan.	Esa mujer bella me robó el corazon.
kuyay ruwasqaykita.	ama lo que haces.
ruray kuyasqaykita.	haz lo que amas.
Manan puñuyta atinichu.	No puedo dormir.
Pikunataq Ayacuchumanta?	¿Quienes son de Ayacucho?
Hakuchiq rantipakuq.	vamos de compras.
Sunquypim apakuyki.	Te llevo en mi corazón.
Anchatam kuyakuyki yanañawi pasñacha.	Niña de ojos negros te quiero demasiado.
Tukuy sunquywanmi kuyakuyki.	Te amo con todo mi corazón.
Hakuchik puñuqña.	Vamos a dormir.
Imaynallam kachkankichik llapallaykichik?	¿Cómo están todos?
¡Alalaw! Llumpayñam kay chiriqa.	¡Qué frío! Ya es demasiado este frio.
Altupi cruz, pampapi suytu rumi.	Arriba una cruz, en el suelo una piedra ovalada.
Chullalla mankapi iskay niraq mikuy tinpuchkan.	En una sola olla, dos tipos de comidas hierven.
Ichupa chawpinpi llamapa yupin.	En el centro de los ichus hay huella de la llama.
¿Imam sutiyki?	¿Cómo te llamas?
¿Haykaqmi ripunki?	¿Cuándo te vas?
¿Haykapitaq hamunki?	¿Cuándo vienes?
¿Haykatam manuchkayki?	¿Cuánto le debo?
¿Haykatam munanki?	¿Cuánto quieres?
¿Hayka watayuqtaq kanki?	¿Cuántos años tienes?
¿Maymantam kanki?	¿De dónde eres?
¿Maymantam chayamunki?	¿De dónde llegas?
¿Maymantam hamunki?	¿De dónde vienes?
¿May llaqtamanta kanki?	¿De qué país eres?
¡Samarikuy!	¡Descansa!
¿Maypitaq karqanki?	¿Dónde estabas?
¿Maytam rinki?	¿Dónde vas?
¿Allinllachu kachkankichik?	¿Están bien?
Allinllam kachkani.	Estoy bien.
Kuska risun.	Iremos juntos.
Paqarin chayanki llaqtaman.	Mañana llegarás al pueblo.
Paqarin tuta.	Mañana por la noche.
¿Riqsiwankichu?	¿Me conoces?
Llakikuykim.	Me haces falta.
¿Kuyawankichu?	¿Me quieres?
Qaway, ¿pitaq?	Mira, ¿Quién es?
Manam munanichu.	No quiero.
Manam kanchu.	No tengo.
¿Kutimunkichu?	¿Volverás?
¿Imamantam waqanki?	¿Por qué lloras?
¿Imatam rantisaq?	¿Qué compraré?
¿Imatam ruwanki?	¿Qué haces?
¿Imatam munanki?	¿Qué quieres?
¿Imaykitaq nanan?	¿Qué te duele?
¿Imatam apamunki?	¿Que traes?
¿Imatam rantikunki?	¿Qué vendes?
¿Munankichu mikuyta?	¿Quieres comer?
¿Munankichu?	¿Quieres?
Ari taytay.	Si señor.
Ari taytay unquchkanim.	Si señor estoy enfermo.
Arí, munanim.	Si, quiero.
¿Runtuyki kanchu?	¿Tienes huevos?
¡kayman hamuy!	¡Ven acá!
Qillqayta tukuruni.	Terminé de escribir.
Warmiy sumaqta tusun.	Mi mujer baila bonito.
¿Wak wali pipataq karqa?	¿De quién era aquella falda?
Chay punkuta kichay.	abre esa puerta.
Kay pampapi kachkan.	este está en el piso.
Italiapi aylluy.	Mi familia en Italia.
Milan llaqtapi paqarirqani, Italia mama suyupi, 1824 watapi, tarpuy killapi, 19 punchawpi.	Nací en Milán, Italia, el 19 de setiembre de 1824.
Taytaypa sutinqa Enrique, mamaypataq Rebeca, paykunawan kuska, tawa wawqichaykunawanpas huk munay wasipi tiyarqayku.	Mis papis se llamaban Enrique y Rebeca, y viví con ellos y mis cuatro hermanitos en una hermosa casa.
Sapa kuti urpikunap rapapapasqanta qhawayta munaspa, tika pampakunapi kusisqa puriq kani.	Siempre me gustó ir al parque a disfrutar del aleteo de las palomas que revoloteaban junto a nosotros.
¡Paykunarayku Pachamamanchiktaqa anchata munakuni!	¡Gracias a ellas aprendí a amar a la naturaleza!
Riqsinapaqraq tiqsimuyu.	Un mundo por descubrir.
Chakrakunapi purisqayta yuyachkani, chaypim urukunap witititisqanta, tikakunap sumaq llimpinkunata, chuqikunap sinchi kanchaynintapas yuyaywan qhawaq kani.	Recuerdo que en el campo observaba el movimiento travieso de los insectos, los bellos colores de las flores o el brillo intenso de algún mineral.
Yachaywasiypiqa hatun riqsisqa puriqkunamanta kusikuywanmi ñawinchaq kani.	En la escuela me emocionaba la lectura de los libros de los grandes viajeros.
¡Yo también quería ser un gran explorador!	¡Ñuqapas hatun puriq kayta munaq kani!
Italiamanta Perukama.	De Italia al Perú.
Milan llaqta yura wasipi Pachamamap paka siminta yacharqani.	En el Jardín Botánico de Milán aprendí los secretos de la naturaleza.
Chaypim Perumanta hawaq’ullay wit’usqankuta llakisqa rikurqani.	Allí presencié con tristeza el corte de un cactus peruano.
Chayhinata Perú suyupaq munakuyniy paqarimun, riqsiytapuni munarqani, hinayá huk punchawmi Genovamanta wampupi lluqsini, 1850 watapi, anta sitwa killapi, 28 punchawpi Callaoman chayamuni.	Así nació mi interés por el Perú, que se hizo incontenible hasta el día que partí en barco desde Génova rumbo al Callao, puerto al que llegué el 28 de julio de 1850.
Musquyniy hunt’asqa: Perú suyupi purisqaykuna.	Mi sueño cumplido: los viajes por el Perú.
¡Desde mi llegada sentí un gran deseo de viajar y conocer todo el Perú!	¡Chayasqaymantapacha lliw Perú mama suyuta sinchita puriyta munaq kani!
Hinam, chunka isqunniyuq watapi Cristobal yanapakuqniywan kuska, kawallupipas, wampupipas, chakipipas ancha sumaq llaqtanchikta riqsirqani.	A caballo, en barco o a pie, recorrí nuestro maravilloso país durante diecinueve años, acompañado por mi asistente y amigo Cristóbal.
Chay puriykunapipas taqwispa tariykunapipas, lliw kawsayniymanta aswan kusi samiyuq punchawkuna tarikun.	 Durante mis exploraciones y descubrimientos científicos viví los días más felices de mi vida.
Perú suyupi imaymana mana tukukuq yurakuna.	La infinita diversidad de plantas peruanas.
Yuramanta, tikamanta, mallkimanta yachayqa munasqaypuni karqan.	El reino vegetal fue uno de mis preferidos.
Ima tikatapas rikuspay siqiqmi kani, hurquspataq chaki tikatahina waqaychaq kani.	Cada vez que encontraba una flor, la dibujaba, cortaba y guardaba como una planta seca.
¡Hinatayá, yurakunata huñuspa iskay chunka waranqa kuraqmanraq chayarqani!	¡Así llegué a tener más de veinte mil plantas!
En 1867 descubrí en Ancash la especie más hermosa del Perú: la impresionante puya.	Ancashpi 1867 watapi, Perumanta aswan ancha sumaq yurata tarirqani, sutintaqmi puya.
Perumanta pacha suyunkunapas uywankunapas.	Las regiones naturales y los animales del Perú.
mamaytam kuyani.	amo a mi mamá.
misitam maskani.	busco al gato.
wallpakunatam maskani.	busco a las gallinas.
allqukunatam pakani.	escondo a los perros.
allquman yakuta quni.	le doy agua al perro.
chakraman purini.	camino a la chacra.
yantaman rirqani.	fui por leña.
Paymi ñuqamanta llamkanqa.	Él trabajará en vez de mí.
Tumbesmanta purirqani.	Caminé desde Tumbes.
Wasikimanta rimanku.	Hablan sobre tu casa.
Piuramanta hamuni.	Vengo desde Piura.
Lliklla hawapim tiyani.	Me siento sobre la manta.
iskay watapim llamkarqa.	Trabajó durante dos años.
Piurapim yachani.	vivo en Piura.
wasi ukupim puñuni.	duermo dentro de la casa.
Omar Jorgewan rimanku.	Omar y Jorge hablan.
Paywan takinki.	cantas con él.
Taytaywan purini.	Camino con mi padre.
Yakuwan yanuni.	Cocino con agua.
Mikunaykamam chinkarun.	Se perdió mientras yo comía.
Puñunaykamam suwaruwan.	Me robó mientras dormía.
Mancorakamam purisaq.	Caminaré hasta Máncora.
Qusqukamam illasaq.	Viajaré hasta Cusco.
Qamraykum Limamanta hamuni.	Por ti vengo desde Lima.
Payraykum rimasaq.	Hablaré en favor de él.
Ñuqanchikraykum llamkan.	Trabaja en favor nuestro.
Ñuqanchikraykum waqarqa.	Lloró por causa de nuestra.
Warmipura takinku.	Cantan entre mujeres.
Qaripura pukllasunchik.	Jugaremos entre varones.
Unquqpurallam rimanku.	Hablan sólo entre enfermos.
Sipaspurallam puñunqaku.	Dormirán sólo entre jovencitas.
Tawa tantankam mikunkichik.	Comerán a cuatro panes.
Kimsa maytunkam rantinku.	Compran cada uno a tres kilos.
Isqunninkam hapinkichik.	Agarren cada uno a nueve.
Iskayninkam tusunqaku.	Bailarán de a dos.
Taytantin yachaywasiman rin.	Va a la escuela con su papá.
Allquntin puñunqa.	Dormirá con su perro.
Josénintin mikusunchik.	Comeremos acompañado de José.
Iskay añasnintin hamunqa.	Vendrá con dos zorrillos.
Allquy.	Mi perro.
Allillamanta rimay, ama hina kaspa.	Hable más despacio por favor.
Tapukusayki.	Quiero hacerte una pregunta.
Manam munanichu chay ruwaytaqa.	No quiero hacer eso.
Uyarinichu.	No oigo.
Ripukusunña, tutayaramunñam.	Vámonos, ya anocheció.
Manam munanichu takiyta.	No quiero cantar.
¿Paqarin qamunkichu?	¿vas a venir mañana?
Chaytaqa qunqaruniñam.	Ya olvidé eso.
Chaytaqa yacharuniñam.	Eso ya lo aprendí.
¿Haykapitaq aqata upyasun?	¿Cuándo vamos a tomar chicha?
Ripukusunña.	Ya vámonos.
Tutayaramunñam.	Ya anocheció.
Amiruniñam.	Ya me aburrí.
¿Lluqsiykuymanchu, yachachiq?	¿Puedo salir, profesor?
Yarqaruwanñam.	Ya me dio hambre.
Qipayta rimaychik.	Repetir después de mí.
Ama hinachu kaychik.	Por favor.
Mana imamantapas.	Por nada.
Sutiyqa Pedrom.	Mi nombre es Pedro.
¿Taytaykimanta?	¿Tu apellido paterno?
Taytaymantaqa Waman.	Mi apellido paterno es Huamán.
¿Mamaykimanta?	¿Tu apellido materno?
Mamaymantaqa Rojas.	Mi apellido materno Rojas.
Llapan sutiykita niway.	Dime tu nombre completo.
Sutiyqa, Pedro Waman Rojas.	Mi nombre es Pedro Huamán Rojas.
Chiwchichakuna.	Los pollitos.
Chiwchichakuna waqan.	Los pollitos dicen.
Yarqachikuspanku.	cuando tienen hambre.
Chiriwan kaspanku.	cuando tienen frío.
Wallpañataq maskan.	La gallina busca.
Sarata, uruta.	El maíz y el grillo.
Hinaspa uqllaykun.	Y les da abrigo.
willkapaq.	para el nieto.
Mamay rimaykullayk.	Señora buenos dias.
Mamay rimaykullayk.	Señora buenos tardes.
Mamay rimaykullayk.	Señora buenos noches.
Reqsenaykukusunya.	conozcámonos.
Anchatan kusikun.	me alegro mucho.
Llankanchu manachu.	Trabaja o no trabaja.
Takiypas amapas.	Cantes o no cantes.
Kuchuy aychata otaq ripuy.	Corta la carne o te vas.
Tarpuymanachayqa hallmay.	Siembras o cultivas.
Hamuypas ripuypas.	Vienes o te vas.
Tusuy aswantakiy.	Canta mejor baila.
Tarpunki chayqa kawsankin.	Si siembras vivirás.
Sichus tarpunki kosechanki.	Si siembras cosecharás.
Mana llankasaq chayri?	¿Que si no trabajo?
Pay rayku waqani.	Por él lloro.
Pay rayku waqani.	Por ella lloro.
Tarpuskanmi chayrayku mana hamunchu.	Está sembrando por eso no vino.
Yachanin chaymi rimani.	Sé por eso hablo.
Wasi patapi.	Encima de la casa.
Mayu pata.	Orilla del río.
Chakaq pachan.	Debajo del puente.
Llaqtaq chawpin.	El centro de la ciudad.
Wakaq qepanpi.	Tras de la vaca.
Warmiywan llaqtata risaq.	Con mi mujer iré a la ciudad.
¿Maynintan purisaq kunan?	¿Por donde he de caminar ahora?
Tayta Ansilmuta tapukurqusunchik sasachakuyninchikmanta, paymi yuyaysapa runa.	Consultemos al Sr. Anselmo, él es un hombre de muy buen juicio.
Wawayqa manaraq chunka watayuq ichaqa ancha allin yuyayniyuqña, imatapas allintapunim ruwan.	Mi hija no tiene todavía diez años pero ya tiene juicio muy desarrollado, hace cualquier cosa siempre en buena forma.
Runasimi suwihukuna.	Sufijos del quechua.
¡Achachallawya!, waknatamya wawallay makinta kirikurqusqa.	¡Qué barbaridad!, mi pobre hijo se hirió la mano de gravedad.
Kay llaqtapiqa achikyan chirillañam, chaymi intipa punta chayamusqan patachaman kallpanipuni quñirikuq.	En este pueblo amanece muy frío, por eso yo inmediatamente corro, para calentarme un poco, a la lomita donde primero caen los rayos del Sol.
Alliqyamuchkanña, pasasunña llamkaq.	Ya está amaneciendo, vamos ya a trabajar.
Chisiyachkanña, wallpakunapas puñunankumanña pawachkanku.	Ya está empezando a anochecer, las gallinas están ya volando hacia sus dormideros.
Punchawyay.	Hacerse de día.
Punchawyarqunñam, ñam inti lluqsirqamunnña.	Ya es de día, el Sol ya salió.
¡Hikutasunchik!, punchawyarquptinchikqa manam huntatachu pagawasun.	¡Apurémonos!, si nos hacemos tarde no nos pagarán completo.
Qaspaykuchkaqtam lluqsisun, manachayqa rupaymi lliw hapirquwasun.	Partiremos al rayar la aurora, de lo contrario el calor del Sol nos cogerá.
Tutayarqun, hinaptin mana imatapas qawayta atirqanichu.	Cuando se puso oscuro no pude ver nada.
Achikyaqta parayta qallarimun.	Empezó a llover al amanecer.
Chisi tuta.	La noche anterior.
Musquyniypi chisi tuta qamwan rimachkasqani.	Anoche en mis sueños estaba hablando contigo.
Paqarin yachachisqayki imaynam kay yupanakuna sasachakuy paskayta.	Ya mañana te enseñaré cómo solucionar estos problemas de matemáticas.
Tutamantantin.	A la mañana.
Llamkaywanmi mana allin urata puñuq rirqanichu, tutamantantinñataq mana timpranu hatariyta atirqanichu.	Con el trabajo, no pude ir a dormir a tiempo y a la mañana siguiente, tampoco pude levantarme temprano.
Tuta-tutam paqarin hatarisunchik, manachayqa manam llamkayninchikta tukusunchu.	Mañana tenemos que levantarnos muy de madrugada, de otro modo no terminaremos nuestro trabajo.
Tukuy tuta rikcharayay.	Estar despierto toda la noche.
Chisi tuta mana puñuyta atinichu, lliw sasachakuyniykuna muyupayawaptin achikyarquni puñunaypi tikrapakustillan.	Anoche no pude dormir, puesto que todos mis problemas me acosaban, me amanecí moviéndome en la cama de un lado al otro.
Yupanakuna, yuyayninchikpi kasqanmanta llimpaqraq.	Objetos existentes en mayor número de lo imaginado.
Achka llamam kapuwan.	Tengo muchas llamas.
¿Hayka runatataq maskasun chakranchik yapunapaq?	¿Cuántos hombres necesitaremos para arar nuestra chacra?
Wiksapi, chunchulpi lliw kallpan suqurqusqa mikuykunapa wischusqa puchun.	Residuo eliminado de los alimentos digeridos.
Wakapa akanqa allinmi waykunapaq, allpapa kallpan kutichinapaq ima.	El excremento del vacuno es bueno para usarlo como combustible y para renovar la fertilidad del terreno.
Pikuy lliw akarqusqa, saqirqusqaku chakrapi, picharqusaq akanta.	Mi pico se oxidó, lo dejaron en la alquería, limpiaré su herrumbre.
Huk urpitu hanay sachamanta pampaman akaykamun.	Un ave, desde lo alto de un árbol, defecó al suelo.
¿Ima llamkaytataq churiyki akllanqa hatun yachay wasipi yachakuymanananpaq?	¿Qué profesión escogerá tu hijo para estudiar en la universidad?
Llaqtanchikpi kamachikuqkunatam paqarin akllasun.	Mañana elegiremos a las autoridades de nuestro país.
Kuka kachuy, simi waqtapi kachusqata amuspa, chayllachaylla yakun suquy.	Masticar las hojas de coca y mantener lo masticado en un costado de la boca para, de rato en rato, pasar el jugo.
Llamkaqkunaqa kukata akuykuspañam llamkayta qallarinku.	Los trabajadores empiezan a trabajar ya después de masticar la coca.
Altupim aychataqa churanki, manachayqa misim mikukurqunqa.	Debes guardar la carne en una parte alta porque si no el gato se la comerá.
Achkam runasimi alumnuykuna.	Tengo muchos alumnos de quechua.
Iskay simanapiraqmi papata allasaq, manaraqmi puqusqachu kanman kananqa.	Cosecharé las papas dentro de dos semanas, en este momento no creo que todavía estén maduras.
Imapas ruwanapaq allin kayman hikutapakuy.	Procurar estar en condiciones adecuadas para hacer algo.
Maryaqa allichakuchkanñas kasarakunanpaq.	Dicen que María ya se está alistando para casarse.
Allillamanta purispanchikqa manam urmachwanchu.	Si camináramos despacio no nos caeríamos.
Utqayllam llamkana, kawsayninchikmi utqaylla tukun.	Debemos trabajar a prisa porque nuestra vida termina rápidamente.
